,city,country,Salario_Medio,Continent,sub-region,Alimentacao_Basica,Transp_Publico,Transp_Privado,Moradia_CentroCidade,Moradia_ForaCentroCidade,Final_de_Semana,CV1_1,CV1_2,CV2_1,CV2_2
861,Zilina,Slovakia,1101.69,Europe,Eastern Europe,67.07000000000001,21.07,569.2,685.09,603.42,119.2,1440.5600000000002,892.4300000000001,1358.89,810.76
862,Banska Bystrica,Slovakia,880.76,Europe,Eastern Europe,71.63,21.07,564.13,696.97,550.5,113.66,1446.39,903.33,1299.92,756.86
863,Nitra,Slovakia,1041.45,Europe,Eastern Europe,75.91999999999999,21.07,728.19,802.61,644.54,101.52000000000001,1708.24,1001.12,1550.17,843.05
864,Trnava,Slovakia,1032.67,Europe,Eastern Europe,68.65,,,661.47,573.6600000000001,109.11,,,,
865,Windhoek,Namibia,564.61,Africa,Sub-Saharan Africa,70.77,22.44,281.03,535.52,444.74,102.45,989.77,731.1800000000001,898.99,640.4000000000001
866,Nicosia,Cyprus,1449.65,Asia,Western Asia,84.81,42.15,588.47,842.81,731.79,210.62,1726.71,1180.3899999999999,1615.69,1069.37
867,Limassol,Cyprus,1573.19,Asia,Western Asia,84.84,42.15,714.36,1641.6899999999998,1262.44,196.52,2637.41,1965.1999999999998,2258.1600000000003,1585.95
868,Larnaca,Cyprus,1298.02,Asia,Western Asia,96.66,42.15,781.53,1087.81,859.23,233.51999999999998,2199.52,1460.1399999999999,1970.94,1231.56
869,Paphos,Cyprus,1229.87,Asia,Western Asia,71.71000000000001,42.15,633.5799999999999,915.44,704.69,175.20000000000002,1795.93,1204.5000000000002,1585.18,993.7500000000001
870,Nassau,Bahamas,1817.33,Americas,Latin America and the Caribbean,164.71,60.0,1107.67,1430.79,1330.79,268.18,2971.35,1923.68,2871.35,1823.68
871,Ljubljana,Slovenia,1392.17,Europe,Southern Europe,80.05,38.99,679.3000000000001,962.04,828.8499999999999,169.71,1891.1,1250.79,1757.9099999999999,1117.6
872,Maribor,Slovenia,1316.01,Europe,Southern Europe,69.5,31.61,619.74,630.4399999999999,594.87,147.54000000000002,1467.2199999999998,879.0899999999999,1431.65,843.52
873,Celje,Slovenia,1122.85,Europe,Southern Europe,76.24000000000001,21.07,637.1500000000001,710.75,658.06,152.96999999999997,1577.1100000000001,961.03,1524.42,908.3399999999999
874,Kranj,Slovenia,1154.55,Europe,Southern Europe,70.94,31.61,629.5799999999999,668.51,581.5799999999999,135.67000000000002,1504.7,906.73,1417.77,819.8
875,Sarajevo,Bosnia And Herzegovina,755.85,Europe,Southern Europe,58.55,28.49,666.45,442.85999999999996,354.68999999999994,111.30000000000001,1279.1599999999999,641.2,1190.99,553.03
876,Banja Luka,Bosnia And Herzegovina,550.32,Europe,Southern Europe,55.93,29.56,567.28,431.96000000000004,351.33000000000004,82.03,1137.2,599.48,1056.57,518.85
877,Mostar,Bosnia And Herzegovina,639.1,Europe,Southern Europe,65.41,30.24,654.47,355.07,284.53,94.98,1169.93,545.6999999999999,1099.3899999999999,475.15999999999997
878,Tuzla,Bosnia And Herzegovina,513.65,Europe,Southern Europe,56.480000000000004,28.22,656.91,366.45,313.16999999999996,88.82000000000001,1168.6599999999999,539.97,1115.3799999999999,486.68999999999994
879,Male,Maldives,800.51,Asia,Southern Asia,56.10000000000001,21.6,1308.56,1152.0,873.04,155.19,2671.85,1384.89,2392.89,1105.93
880,Gaborone,Botswana,724.69,Africa,Sub-Saharan Africa,60.17,21.84,557.12,373.48,325.27,127.16999999999999,1117.94,582.66,1069.73,534.4499999999999
881,Gibraltar,Gibraltar,3385.92,Europe,Southern Europe,92.75,12.3,971.4300000000001,1921.15,1595.28,225.95999999999995,3211.29,2252.16,2885.42,1926.29
882,Port Moresby,Papua New Guinea,401.85,Oceania,Melanesia,90.71,38.34,1312.8200000000002,2677.5099999999998,1034.5500000000002,175.20999999999998,4256.25,2981.77,2613.2900000000004,1338.8100000000002
883,Georgetown,Guyana,410.92,Americas,Latin America and the Caribbean,102.4,34.14,478.42,469.5,347.33000000000004,121.25,1171.5700000000002,727.29,1049.4,605.1200000000001
884,Podgorica,Montenegro,644.09,Europe,Southern Europe,62.120000000000005,28.45,647.81,507.33000000000004,413.38,109.39,1326.65,707.2900000000001,1232.7,613.34
885,Budva,Montenegro,585.88,Europe,Southern Europe,57.14,23.71,533.13,783.12,564.85,139.17,1512.56,1003.14,1294.29,784.87
886,Manama,Bahrain,2080.33,Asia,Western Asia,62.949999999999996,37.13,683.51,1221.23,1013.9300000000001,268.91999999999996,2236.61,1590.23,2029.31,1382.9299999999998
887,Bern,Switzerland,6090.17,Europe,Western Europe,201.29000000000002,84.41,1269.5700000000002,1532.13,1270.1599999999999,389.49,3392.4800000000005,2207.32,3130.51,1945.35
888,Zurich,Switzerland,6782.99,Europe,Western Europe,201.51999999999998,96.16,1014.51,2391.65,1937.2399999999998,412.85,4020.53,3102.18,3566.1199999999994,2647.7699999999995
889,Geneva,Switzerland,5855.97,Europe,Western Europe,183.14999999999998,74.79,1121.97,2394.98,1984.3600000000001,405.78000000000003,4105.88,3058.7000000000003,3695.26,2648.0800000000004
890,Basel,Switzerland,6216.73,Europe,Western Europe,211.81,85.48,971.58,1812.39,1547.17,437.77000000000004,3433.55,2547.4500000000003,3168.3300000000004,2282.23
891,Lausanne,Switzerland,5400.51,Europe,Western Europe,198.81999999999994,79.07,1152.8500000000001,2027.01,1735.0400000000002,435.65,3814.3300000000004,2740.55,3522.36,2448.58
892,Winterthur,Switzerland,6054.55,Europe,Western Europe,161.43000000000004,98.83,957.99,1984.3000000000002,1516.8600000000001,384.62000000000006,3488.34,2629.1800000000003,3020.9,2161.7400000000002
893,Lucerne,Switzerland,5356.84,Europe,Western Europe,221.54000000000002,85.48,942.3000000000001,1738.6699999999998,1418.1399999999999,409.46000000000004,3311.9700000000003,2455.1499999999996,2991.44,2134.62
894,Fribourg,Switzerland,4778.64,Europe,Western Europe,200.06,72.65,1123.17,1248.33,1034.6399999999999,352.64,2924.2,1873.6799999999998,2710.5099999999998,1659.9899999999998
895,Neuchatel,Switzerland,5582.65,Europe,Western Europe,188.57999999999998,78.0,791.9,1251.75,1115.52,337.4200000000001,2569.65,1855.75,2433.42,1719.52
896,Zug,Switzerland,7935.38,Europe,Western Europe,175.1,84.41,1118.37,2462.26,1936.94,414.35,4170.08,3136.1200000000003,3644.7599999999998,2610.7999999999997
897,Lugano,Switzerland,5428.87,Europe,Western Europe,187.40000000000003,85.48,941.5,2050.2400000000002,1720.06,395.75,3574.8900000000003,2718.8700000000003,3244.71,2388.69
898,Luxembourg,Luxembourg,4272.11,Europe,Western Europe,105.81,0.0,800.97,2086.1800000000003,1855.09,293.44,3286.4,2485.4300000000003,3055.31,2254.3399999999997
899,Bridgetown,Barbados,1333.33,Americas,Latin America and the Caribbean,149.95,36.0,1125.67,681.21,606.21,218.12,2174.9500000000003,1085.2800000000002,2099.9500000000003,1010.2800000000001
900,Reykjavik,Iceland,3342.89,Europe,Northern Europe,153.01,60.24,976.3,1710.69,1455.17,388.56,3228.56,2312.5,2973.04,2056.98
901,Suva,Fiji,1597.77,Oceania,Melanesia,56.19,36.21,557.7,655.8199999999999,390.42999999999995,124.27999999999999,1393.99,872.4999999999999,1128.6000000000001,607.1099999999999
902,Noumea,New Caledonia,2501.94,Oceania,Melanesia,131.01000000000002,72.14,781.9499999999999,1068.88,886.3900000000001,334.0199999999999,2315.86,1606.0500000000002,2133.37,1423.5600000000002
903,Thimphu,Bhutan,366.55,Asia,Southern Asia,37.65,15.34,471.56,287.91999999999996,202.01999999999998,273.55,1070.6799999999998,614.46,984.78,528.56
904,Hamilton,Bermuda,5973.81,Americas,Northern America,262.45000000000005,69.0,1173.33,3752.32,2552.32,439.94,5628.04,4523.71,4428.04,3323.7100000000005
905,Douglas,Isle Of Man,4608.5,Europe,Northern Europe,60.18000000000001,39.36,794.51,1244.0600000000002,1079.32,256.88,2355.63,1600.48,2190.89,1435.7399999999998
906,Port of Spain,Trinidad And Tobago,768.72,Americas,Latin America and the Caribbean,89.69,58.99,773.39,680.5699999999999,561.56,141.14000000000001,1684.79,970.39,1565.78,851.38
907,Saint Helier,Jersey,2893.88,Europe,Northern Europe,105.23000000000002,63.96,867.6800000000001,1957.87,1917.27,333.99,3264.7699999999995,2461.05,3224.17,2420.45
908,Victoria,Seychelles,597.42,Africa,Sub-Saharan Africa,116.78,23.06,721.23,1108.97,976.36,227.77,2174.75,1476.58,2042.1399999999999,1343.97
909,Valletta,Malta,1184.8,Europe,Southern Europe,115.41,27.4,555.2,1222.9099999999999,1078.02,226.20999999999998,2119.73,1591.9299999999998,1974.8400000000001,1447.04
910,Sliema,Malta,1410.32,Europe,Southern Europe,100.12,27.4,760.1,1129.3,932.94,230.06,2219.58,1486.8799999999999,2023.22,1290.52
911,Gzira,Malta,1383.04,Europe,Southern Europe,102.88,34.25,744.26,1166.16,1023.5400000000001,221.44,2234.7400000000002,1524.73,2092.12,1382.1100000000001
912,Belize City,Belize,998.65,Americas,Latin America and the Caribbean,86.24000000000001,20.0,767.62,511.18,504.90000000000003,138.05,1503.09,755.47,1496.81,749.19
913,Alajuela,Costa Rica,877.32,Americas,Latin America and the Caribbean,118.85000000000001,71.86,790.3000000000001,508.37,433.70000000000005,132.60999999999999,1550.1299999999999,831.69,1475.46,757.0200000000001
914,Heredia,Costa Rica,747.04,Americas,Latin America and the Caribbean,104.91,29.06,716.16,510.07,380.36,124.44999999999999,1455.59,768.49,1325.8799999999999,638.78
